text,time
아직도 수치가 높네,5년 전
일본아..그냥 바다속으로 침몰해라,5년 전
"아베 왜국은 우리를 침략한 나라입니다. 수많은 침략과 노략질 그리고 식민지배로 수많은 악행을 저질르고도이를 부정합니다. 또 경제 침공하는데 이젠 더이상 그냥 당할순 없습니다. 평화를 사랑하는 나라이지만외침을 받으면 반드시 막아내야 합니다. 일본은 지진, 쓰나미, 방사능, 태풍으로 망할것입니다.",5년 전
내 바램은 전세계가 보이콧 동참했으면 한다,5년 전
그까짓 옷과 맥주불매한다고 무슨 소용.. 더 큰 피해 입은 한국린데..,5년 전
일본싫어하되 북한도 싫어합시다,5년 전
일본과 단절합시다 영원히,5년 전
30% 밖에 안줄었다고? 더해야지 더,5년 전
"저희 업체도 큰건 아니지만 이번 지게차 일본제대신 두산꺼 구매검토중입니다
모두 화이팅 힘을 보탭시다",5년 전
"우리 국민 참 대단 합니다.
우리 국민 최고 예요. 최고~
  그런데 아직 일본 맥주등  소비제등이 아직 판매 준비를(매대) 해뒀든데 주인에게 표현은 하지 않았는데, 그매장에선 다른 제품까지 사기싫더라구요.. 
나도 모르게~",5년 전
국내시판 중인 필스너우르켈 페로니 그롤쉬 타스키에 레흐 드레허 코젤 KGB 크루저 전부 아사히맥주가 인수한 엄연한 일본 주류죠. 불매해야 합니다.,5년 전
"김해사는데 오늘 메가마트갔더니 다이소입점했다고 떡하니 선전하던데?
 냉장고엔  맨앞진열대에 아싸이맥주 진열되어있고 사람들 눈에 잘 띄는곳에 비트랑 롯데제품 쌓아놓았더군여
갑자기 왠 다이소?
하필 이시점에  다이소 입점이 필요한가?
다이소물건 완전 개 싸구려",5년 전(수정됨)
난 일본제품이좋다 그래서 살거다,5년 전
과거에 일본으로 부터 청산을 위해 일본 외화 보유고의 반을 받은 적이 있습니까?,5년 전
우리모두 유니클로 입고 아사히마시러 갑시다,5년 전
난 어제 테라 캔맥주 사마셨당.,5년 전
대마도 낚시포인트 한산 하겠군,5년 전
이것 저것 일본거 많이 먹어주고 입어주고 사용 많이했네..난 쓰레기입니다.,5년 전
이제시작이다 일본 끝장내주마,5년 전
롯데 도 불매운동 안하나~,5년 전
"아직도 일본에 가는 사람이 60퍼 이상이라는게 안타깝지만, 아직 정확한 집계가 아니라고 생각합니다. 이번 휴가철이 지나면 알 수 있겠지요.",5년 전
일본 니네들 우리하고 제대로 붙어 싸워본적 없지???100년전에는 졌지만 이번엔 기필코 이긴다~^~어쨋든 아베씨 ~고마워요  일본이라는 족속들 잘 알게 해줘서~~니넨 사죄하고 빌붙는다 해도 영원히 블랙리스트다!!!,5년 전
"아직도 부족하다 
일본기업이 한국에서 장사를 못할때까지 해야한다",5년 전
가짜뉴스 ㅉㅉ,5년 전
대한민국 화이팅,5년 전
"강남 ABC마트도 손님 거의 없음 
월세 유지 힘들어 보여요",5년 전
