text,time
23:26 민지 착하네ㅋㅋ민희진이였으면 쌍욕했을텐데ㅋㅋ,6개월 전
왤케 가르키려고 하는거야 희망해야하는게 맞는거 아니에요? 이런식의 대화 머야,6개월 전
전속계약 해지도 뉴진스럽다,6개월 전
동덕진스 화이팅❤❤ 언니들이 지켜줄게!! ❤❤,6개월 전
뉴진스 never다 끝났다는거지.,6개월 전
꺼져. 배신자..  지은이 계속 사랑할께..,6개월 전
바보들이네,6개월 전
좋은 선례로 남길 바란다 뉴진스 네버다이!,6개월 전
정말 최악의 상황으로 가는군요.,6개월 전
왜 저렇게 됐느냐 펜들이 우쭈쭈해주고 모든게 오로지 지들덕으러 인기있는거다에 마음이 붕떠서 기고만장해진거지 그냥 자본을 투자해서 만들어진건데  그냥 배응망덕이지,6개월 전
뉴진스 네버다이🙏,6개월 전
법정싸움으로 몇년간 활동못하고 저땠음,6개월 전
뉴진스네버다이❣️❤️❤️,6개월 전
확실히 전자신문은 광고로 먹고사는데라 볼게 없다.,6개월 전
"아이고 6시간만 늦게 하지,,
계약서를 조항을 어기면서 계약해지를 외치면,,, 귀책사유만 늘 뿐이지",6개월 전
"이건 아직 지켜봐야 함.
어떻게 될지 아무도 모르는 폭탄같고 어지러운 문제임",6개월 전
아티스트로서만 멋있는 줄 알았는데... 진짜 멋지고 깊은 내공들을 가졌네. 뉴진스 응원해유~,6개월 전
"뉴진스 애들아~너희들은 민희진에 이용당한거야
이제 엄청난 위약금만 떠안고 민희진 엄마는 나몰라라 하겠지",6개월 전
29년까지 계약 유효래,6개월 전
상상해지냐 뭐라는거냐 웃음벨이네,6개월 전
"법치주의 국가에서 법 위에 서겠다는데 온몸 바쳐 응원하는 대중들은 뭘까. 법보다는 팬덤이, 규칙보다는 감정이 앞서는 대한민국의 미래가 두렵다. 이 댓글 보고 하이브알바라 하겠지. 안 봐도 비디오다.",6개월 전(수정됨)
"뉴진스 노래를 자주 듣지도 않고 팬도 아니지만, 하이브의 불공정한 대우를 그냥 참지 않고 저렇게 최선을 다하는 모습을 보면 대견하다는 생각이 듭니다. 당하고 살지말고 못이겨도 부딪혀보면서 가봅시다. 그 과정 속에서 성장이 있을겁니다. 힘내세요!",6개월 전
제 생각엔 팬들이 민희진 팬클럽으로 변질됨요,6개월 전
진짜팬들은 뉴진스 영상보고 선플달지,6개월 전
패배자같은 소릴 하시네 ㅋㅋㅋ,6개월 전
님 뭐 됨? 뉴진스도 법리검토하고 기자회견 한거고 하이브가 민희진한테 주주간계약 해지했던 그대로 돌려준건데? ㅋㅋㅋ,6개월 전
그래 6천억 물어내보고 아 내가 그때 잘못된 판단이엿구나 ㅋㅋ 세상은 감정으로만 흘러가지않는구나  교훈치고는 너무 비싸지 않냐 ㅋㅋ,6개월 전
​ @s63amg4maticcabriolet5  인기가 있으니 극복 가능하다고 생각하는듯..방시혁 민희진 싸움이었는데 이렇게 된 이상 뉴진스도 욕안먹긴 힘들겠다 이제..뉴진스는 둘사이에서 욕안먹고 윈윈할수 있었는데 극과 극을 스스로 선택한판단 아쉽네,6개월 전
 @dlwhdgus0  동덕진스 화이팅❤❤ 언니들이 지켜줄게!! ❤❤,6개월 전
Jean 다르크~,6개월 전
진짜 생각없닺,6개월 전
